trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-103.5137595302575,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,18,10.878538802273342,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,5,-55.24726243909109,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",1
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-70.06992567437047,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,0,-82.42928273334428,"{0: 22, 1: 3, 2: 3, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",35,0,-177.97621093302274,"{0: 22, 1: 1, 2: 8, 3: 2, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,0,-136.08555289272846,"{0: 19, 1: 3, 2: 6, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,9,6.414264443014931,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-81.83844298380274,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,7,-32.209566780211226,"{0: 8, 1: 1, 2: 4, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-52.35660258893245,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,17,-30.458946112439158,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",35,0,-173.38291401130328,"{0: 24, 1: 3, 2: 3, 3: 2, 4: 3}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,2,-64.83875305478941,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 1}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-67.00916710356367,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",30,0,-176.33393582394422,"{0: 22, 1: 0, 2: 4, 3: 0, 4: 4}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-18.541173010392782,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,9.388972378801586,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,-186.04329020589134,"{0: 16, 1: 1, 2: 4, 3: 0, 4: 4}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-100.98285907498612,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 3}",0
1,True,"{'a': 0, 'e': 0}",20,0,-9.0708859303239,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",20,7,1.2206843687227813,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,8,-30.772391025027545,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
4,True,"{'a': 0, 'e': 0}",35,0,44.0525178388501,"{0: 34, 1: 1, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",25,0,-148.39543743507394,"{0: 17, 1: 0, 2: 5, 3: 0, 4: 3}",0
6,True,"{'a': 0, 'e': 0}",25,20,7.24297245738352,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,0,-79.43611696036945,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
8,True,"{'a': 0, 'e': 0}",20,15,11.073972647924444,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",30,19,-26.773462407150735,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
10,True,"{'a': 0, 'e': 0}",20,0,-70.13858851511834,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
