trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-103.36058721209608,"{0: 15, 1: 4, 2: 4, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.7071067811865475}",25,0,-57.97043140489967,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.5773502691896258}",20,0,-21.491776079968066,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.5}",30,0,-250.3307919102244,"{0: 17, 1: 1, 2: 6, 3: 2, 4: 4}",0
5,False,"{'a': 0.5, 'e': 0.4472135954999579}",20,0,-56.54684459968975,"{0: 16, 1: 2, 2: 0, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.4082482904638631}",20,0,-23.257683459034418,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.3779644730092272}",25,0,-146.71246278587182,"{0: 18, 1: 1, 2: 2, 3: 1, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.35355339059327373}",25,0,-77.59413786509647,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.3333333333333333}",20,0,-30.881741878345007,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.31622776601683794}",25,0,19.29793576345265,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.30151134457776363}",25,0,-43.92450443737018,"{0: 18, 1: 4, 2: 1, 3: 2, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.2886751345948129}",30,0,-64.0595743927667,"{0: 23, 1: 3, 2: 2, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.2773500981126146}",25,3,-53.84873916966686,"{0: 15, 1: 1, 2: 5, 3: 1, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.2672612419124244}",35,0,-163.15860006545023,"{0: 28, 1: 1, 2: 0, 3: 2, 4: 4}",0
15,False,"{'a': 0.5, 'e': 0.2581988897471611}",25,0,-61.19498301268496,"{0: 21, 1: 0, 2: 1, 3: 2, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.25}",20,5,-16.81321078595332,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.24253562503633297}",25,0,-24.751819108695386,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.23570226039551587}",20,0,-44.55883070991145,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.22941573387056174}",20,3,-30.232834802695287,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.22360679774997896}",20,0,-41.521237608459145,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
21,False,"{'a': 0.5, 'e': 0.2182178902359924}",30,12,-22.134501005190998,"{0: 15, 1: 1, 2: 0, 3: 2, 4: 0}",1
22,False,"{'a': 0.5, 'e': 0.21320071635561041}",20,10,-53.2648875358498,"{0: 6, 1: 2, 2: 1, 3: 0, 4: 1}",1
23,False,"{'a': 0.5, 'e': 0.20851441405707477}",25,0,-144.62991312485357,"{0: 18, 1: 2, 2: 0, 3: 2, 4: 3}",0
24,False,"{'a': 0.5, 'e': 0.20412414523193154}",25,0,17.96109009061708,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
25,False,"{'a': 0.5, 'e': 0.2}",25,14,6.183490688405874,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
26,False,"{'a': 0.5, 'e': 0.19611613513818404}",20,0,1.6248593511006906,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
27,False,"{'a': 0.5, 'e': 0.19245008972987526}",25,0,-91.71953765477014,"{0: 19, 1: 2, 2: 1, 3: 1, 4: 2}",0
28,False,"{'a': 0.5, 'e': 0.1889822365046136}",25,10,-29.824065787763995,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
29,False,"{'a': 0.5, 'e': 0.18569533817705186}",20,7,15.791336979036002,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
30,False,"{'a': 0.5, 'e': 0.18257418583505536}",25,13,6.2233789782348605,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
31,False,"{'a': 0.5, 'e': 0.1796053020267749}",20,0,27.651567671776192,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
32,False,"{'a': 0.5, 'e': 0.17677669529663687}",30,12,-40.37894637551178,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 1}",1
33,False,"{'a': 0.5, 'e': 0.17407765595569785}",25,0,-100.82119556265766,"{0: 18, 1: 3, 2: 1, 3: 1, 4: 2}",0
34,False,"{'a': 0.5, 'e': 0.17149858514250882}",20,0,-68.25361798942512,"{0: 12, 1: 5, 2: 2, 3: 0, 4: 1}",0
35,False,"{'a': 0.5, 'e': 0.1690308509457033}",20,0,-66.70027602480398,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
36,False,"{'a': 0.5, 'e': 0.16666666666666666}",30,0,-77.12716455154462,"{0: 24, 1: 1, 2: 2, 3: 2, 4: 1}",0
37,False,"{'a': 0.5, 'e': 0.1643989873053573}",20,0,4.784918783407917,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
38,False,"{'a': 0.5, 'e': 0.16222142113076254}",20,2,-41.31910470035191,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 1}",1
39,False,"{'a': 0.5, 'e': 0.16012815380508713}",25,0,-20.04885779918491,"{0: 22, 1: 2, 2: 0, 3: 0, 4: 1}",0
40,False,"{'a': 0.5, 'e': 0.15811388300841897}",20,14,10.109299207252043,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
41,False,"{'a': 0.5, 'e': 0.15617376188860607}",20,12,-1.9943756268296455,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
42,False,"{'a': 0.5, 'e': 0.1543033499620919}",20,0,-14.235230373759814,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
43,False,"{'a': 0.5, 'e': 0.15249857033260467}",25,17,13.107227031039194,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 0.5, 'e': 0.15075567228888181}",25,11,-4.530102805122722,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 0}",1
45,False,"{'a': 0.5, 'e': 0.14907119849998599}",20,0,-2.326755943665738,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
46,False,"{'a': 0.5, 'e': 0.14744195615489714}",25,12,16.645873611348776,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
47,False,"{'a': 0.5, 'e': 0.14586499149789456}",20,6,-75.0858453591383,"{0: 10, 1: 0, 2: 1, 3: 2, 4: 1}",1
48,False,"{'a': 0.5, 'e': 0.14433756729740646}",20,0,16.701336276232194,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
49,False,"{'a': 0.5, 'e': 0.14285714285714285}",20,4,29.51925523648222,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.5, 'e': 0.1414213562373095}",20,9,-43.95303612015299,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 1}",1
51,False,"{'a': 0.5, 'e': 0.14002800840280097}",25,11,12.723062247283101,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
52,False,"{'a': 0.5, 'e': 0.1386750490563073}",20,0,9.744220997293587,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
53,False,"{'a': 0.5, 'e': 0.13736056394868904}",20,4,-4.388919804408243,"{0: 14, 1: 1, 2: 0, 3: 1, 4: 0}",1
54,False,"{'a': 0.5, 'e': 0.13608276348795434}",30,15,20.97347607761621,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
55,False,"{'a': 0.5, 'e': 0.13483997249264842}",35,0,-44.381505291978,"{0: 28, 1: 3, 2: 3, 3: 0, 4: 1}",0
56,False,"{'a': 0.5, 'e': 0.1336306209562122}",35,2,-79.2817153187222,"{0: 28, 1: 0, 2: 2, 3: 1, 4: 2}",1
57,False,"{'a': 0.5, 'e': 0.13245323570650439}",20,0,-12.448169700789704,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
58,False,"{'a': 0.5, 'e': 0.13130643285972254}",30,3,-66.23888895185877,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 2}",1
59,False,"{'a': 0.5, 'e': 0.13018891098082389}",25,0,-5.206088710319937,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 0}",0
60,False,"{'a': 0.5, 'e': 0.12909944487358055}",25,8,-111.65836855867073,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 3}",1
61,False,"{'a': 0.5, 'e': 0.12803687993289598}",25,8,-41.64779309070334,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 1}",1
62,False,"{'a': 0.5, 'e': 0.1270001270001905}",30,0,-39.76166639577174,"{0: 25, 1: 3, 2: 0, 3: 1, 4: 1}",0
63,False,"{'a': 0.5, 'e': 0.1259881576697424}",25,11,12.214355862318271,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
64,False,"{'a': 0.5, 'e': 0.125}",20,8,-23.77610312692702,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
65,False,"{'a': 0.5, 'e': 0.12403473458920847}",20,0,25.337007536959703,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
66,False,"{'a': 0.5, 'e': 0.12309149097933272}",20,7,22.85360548154618,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
67,False,"{'a': 0.5, 'e': 0.12216944435630522}",20,0,-32.34162006997921,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
68,False,"{'a': 0.5, 'e': 0.12126781251816648}",30,0,25.38507664110405,"{0: 28, 1: 1, 2: 1, 3: 0, 4: 0}",0
69,False,"{'a': 0.5, 'e': 0.1203858530857692}",30,0,-49.467439326581875,"{0: 26, 1: 0, 2: 2, 3: 1, 4: 1}",0
70,False,"{'a': 0.5, 'e': 0.11952286093343936}",20,0,-8.8162332786826,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
71,False,"{'a': 0.5, 'e': 0.11867816581938533}",20,0,-21.00032342102398,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
72,False,"{'a': 0.5, 'e': 0.11785113019775793}",20,0,10.876402180889563,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
73,False,"{'a': 0.5, 'e': 0.11704114719613057}",20,0,-6.24218786573505,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
74,False,"{'a': 0.5, 'e': 0.11624763874381928}",25,18,11.950266686071327,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.5, 'e': 0.11547005383792514}",20,0,0.6291813013308605,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
76,False,"{'a': 0.5, 'e': 0.11470786693528087}",20,14,10.311578927425137,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.5, 'e': 0.11396057645963795}",20,7,10.928747210558752,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
78,False,"{'a': 0.5, 'e': 0.11322770341445956}",25,13,24.7612824130766,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.5, 'e': 0.1125087900926024}",25,12,1.1517868568252472,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
80,False,"{'a': 0.5, 'e': 0.11180339887498948}",25,0,26.0051366183181,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
