trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-180.92019814232933,"{0: 18, 1: 2, 2: 7, 3: 0, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.7071067811865475}",20,0,-66.37972193865775,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.5773502691896258}",25,0,-163.80891518869637,"{0: 14, 1: 1, 2: 6, 3: 2, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.5}",20,0,-112.5997174400688,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.4472135954999579}",20,0,-266.292954835284,"{0: 6, 1: 1, 2: 7, 3: 2, 4: 4}",0
6,False,"{'a': 0.5, 'e': 0.4082482904638631}",20,0,-92.64058651804501,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.3779644730092272}",20,0,-186.36736540321016,"{0: 9, 1: 3, 2: 4, 3: 1, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.35355339059327373}",20,0,-132.88962507469472,"{0: 9, 1: 4, 2: 4, 3: 2, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.3333333333333333}",20,0,-65.37840903507805,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.31622776601683794}",30,0,-64.70600598912016,"{0: 22, 1: 2, 2: 4, 3: 2, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.30151134457776363}",30,0,-246.40285527216784,"{0: 16, 1: 4, 2: 3, 3: 3, 4: 4}",0
12,False,"{'a': 0.5, 'e': 0.2886751345948129}",35,0,-143.87400672460737,"{0: 23, 1: 3, 2: 6, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.2773500981126146}",20,0,-138.74602393534317,"{0: 12, 1: 1, 2: 3, 3: 2, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.2672612419124244}",25,0,-71.54803411860192,"{0: 15, 1: 4, 2: 5, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.2581988897471611}",20,0,-59.25059545900116,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.25}",35,0,-214.31247858701462,"{0: 22, 1: 3, 2: 4, 3: 3, 4: 3}",0
17,False,"{'a': 0.5, 'e': 0.24253562503633297}",25,0,-133.86184663311104,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 3}",0
18,False,"{'a': 0.5, 'e': 0.23570226039551587}",25,0,-85.356597472593,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.22941573387056174}",20,0,-48.55166048481208,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.22360679774997896}",30,0,-116.85515227208835,"{0: 21, 1: 1, 2: 6, 3: 0, 4: 2}",0
1,True,"{'a': 0, 'e': 0}",20,0,-101.28510636165949,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",20,0,-84.35378710087754,"{0: 15, 1: 0, 2: 2, 3: 2, 4: 1}",0
3,True,"{'a': 0, 'e': 0}",25,0,-92.78579418152263,"{0: 15, 1: 2, 2: 6, 3: 2, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",25,0,-150.0482017413562,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 3}",0
5,True,"{'a': 0, 'e': 0}",30,0,-92.58857904135773,"{0: 20, 1: 1, 2: 7, 3: 2, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",20,0,-51.251073738039864,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",20,0,-61.512185030573576,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",20,0,-148.8067766123717,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
9,True,"{'a': 0, 'e': 0}",35,0,-227.01655346134345,"{0: 20, 1: 2, 2: 9, 3: 0, 4: 4}",0
10,True,"{'a': 0, 'e': 0}",20,0,-191.44324427538467,"{0: 8, 1: 3, 2: 5, 3: 1, 4: 3}",0
